country,provider,name,gb,days,usd,perGb,source
"canada","eSIM.dog","AMBER_CA_5GB_6D_B7190E23AE","5","6","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_7D_B4DB6A330C","5","7","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_10D_7F33733EDC","5","10","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_12D_AA9B8E99CC","5","12","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_15D_4C3665B1D4","5","15","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_20D_A1FCC57932","5","20","3.36","0.672","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_5GB_25D_23D3EE6081","5","25","3.36","0.672","https://esim.dog/ca"
"canada","Stellar","Canada 8GB 30Days + Free Stellar VPN","8","30","5.51","0.689","stellar feed"
"canada","eSIM.dog","BLACK_CA_64575AF31E","10","1","6.99","0.699","https://esim.dog/ca"
"canada","Stellar","Canada 7GB 30Days + Free Stellar VPN","7","30","4.96","0.709","stellar feed"
"canada","Stellar","Canada 6GB 30Days + Free Stellar VPN","6","30","4.39","0.732","stellar feed"
"canada","eSIM.dog","BLACK_CA_6C72FF5770","9","5","6.71","0.746","https://esim.dog/ca"
"canada","Stellar","Canada 3GB 15Days + Free Stellar VPN","3","15","2.28","0.76","stellar feed"
"canada","eSIM.dog","AMBER_CA_4GB_2D_3C0F0EC9BE","4","2","3.07","0.767","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_4GB_10D_9BFE4C09FB","4","10","3.07","0.767","https://esim.dog/ca"
"canada","Stellar","Canada 5GB 30Days + Free Stellar VPN","5","30","3.88","0.776","stellar feed"
"canada","eSIM.dog","AMBER_CA_40GB_45D_1B1DFEAC65","40","45","32.64","0.816","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_80D_FD03FA3609","20","80","16.4","0.82","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_20GB_90D_27A41F4A32","20","90","16.4","0.82","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_5F056D6C86","8","5","6.71","0.839","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_52C11D130B","7","1","5.99","0.856","https://esim.dog/ca"
"canada","Stellar","Canada 4GB 30Days + Free Stellar VPN","4","30","3.54","0.885","stellar feed"
"canada","eSIM.dog","BLACK_CA_A93F8F3BEC","10","5","8.99","0.899","https://esim.dog/ca"
"canada","Stellar","Canada 500MB 7Days + Free Stellar VPN","1","7","0.94","0.94","stellar feed"
"canada","Stellar","Canada 100MB 7Days + Free Stellar VPN","1","7","0.94","0.94","stellar feed"
"canada","eSIM.dog","BLACK_CA_130D66EE03","9","15","8.49","0.943","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_3GB_2D_C1AD4D8692","3","2","2.84","0.947","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_3GB_3D_793D6115DB","3","3","2.84","0.947","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_2A1592C714","10","7","9.49","0.949","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E4D724A847","10","12","9.49","0.949","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_1363FA8D6F","6","30","5.73","0.955","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_2GB_7D_C3308EE919","2","7","1.98","0.99","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_2GB_14D_8312FE88EC","2","14","1.98","0.99","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_2GB_15D_2D3A2CBB3F","2","15","1.98","0.99","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_5029ED458E","4","1","3.99","0.998","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_AA04BFD997","9","30","8.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_A01D124A50","10","14","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_C94BD9C9A8","10","15","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_3417A4D49E","10","20","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_8F7186F48F","10","21","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_6C00703C85","10","25","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_6312AF0B68","10","30","9.99","0.999","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E57EEA72F4","10","6","10.49","1.049","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_9399E46784","8","12","8.49","1.061","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_45ABCB11DC","8","15","8.49","1.061","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_30GB_90D","30","90","32.64","1.088","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_15GB_90D","15","90","16.4","1.093","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_1CEDCADF96","8","20","8.99","1.124","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_DBA290687C","8","25","8.99","1.124","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_7C86DA16DB","8","30","8.99","1.124","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_2E3D1AC38B","7","15","7.99","1.141","https://esim.dog/ca"
"canada","Stellar","Canada 1GB 7Days + Free Stellar VPN","1","7","1.16","1.16","stellar feed"
"canada","Stellar","Canada 750MB 7Days + Free Stellar VPN","1","7","1.16","1.16","stellar feed"
"canada","eSIM.dog","BLACK_CA_71F9F53ABA","3","1","3.49","1.163","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_EF8D96927D","10","9","11.99","1.199","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E0835D6304","7","30","8.49","1.213","https://esim.dog/ca"
"canada","eSIM.dog","BLUE_CA_9356E37112","50","180","61.48","1.23","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_DBB1D22DD7","5","30","6.49","1.298","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E8B76FB118","3","7","3.99","1.33","https://esim.dog/ca"
"canada","Stellar","Canada 20GB 30Days Premium + Free Stellar VPN","20","30","27.09","1.355","stellar feed"
"canada","eSIM.dog","BLACK_CA_767EC4BACB","4","30","5.49","1.373","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_ADA8F75521","8","9","10.99","1.374","https://esim.dog/ca"
"canada","eSIM.dog","AMBER_CA_2GB_21D_40717852D0","2","21","2.81","1.405","https://esim.dog/ca"
"canada","Stellar","Canada 10GB 30Days Premium + Free Stellar VPN","10","30","14.38","1.438","stellar feed"
"canada","Stellar","Canada 1GB 7Days Premium + Free Stellar VPN","1","7","1.47","1.47","stellar feed"
"canada","eSIM.dog","BLACK_CA_126869EC92","2","1","2.99","1.495","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_2B6970F7B5","3","6","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_59B5B45AD1","3","12","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_95DD0B2FE3","3","14","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_6775501CDD","3","15","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_EB7CBEDDAF","3","20","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_F6A383811C","3","21","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_E49D9CAD11","3","25","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_1CFD5F23A0","3","30","4.49","1.497","https://esim.dog/ca"
"canada","eSIM.dog","GREEN_CA_52A8546748","80","365","119.99","1.5","https://esim.dog/ca"
"canada","Stellar","Canada 3GB 15Days Premium + Free Stellar VPN","3","15","4.6","1.533","stellar feed"
"canada","eSIM.dog","BLACK_CA_2E271A7D20","2","30","3.07","1.535","https://esim.dog/ca"
"canada","Stellar","Canada 5GB 30Days Premium + Free Stellar VPN","5","30","7.87","1.574","stellar feed"
"canada","Stellar","Canada 3GB 30Days Premium + Free Stellar VPN","3","30","4.88","1.627","stellar feed"
"canada","eSIM.dog","GREEN_CA_EAA4380932","40","180","65.99","1.65","https://esim.dog/ca"
"canada","Airalo","canada-mobile-30days-50gb","50","30","84","1.68","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-15days-20gb","20","15","34","1.7","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-7days-10gb","10","7","18","1.8","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-30days-20gb","20","30","37","1.85","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-plus-30days-50gb","50","30","96","1.92","https://www.airalo.com/canada-esim"
"canada","Airalo","canada-mobile-15days-10gb","10","15","20","2","https://www.airalo.com/canada-esim"
"canada","eSIM.dog","GREEN_CA_53EB4F1263","20","365","40.78","2.039","https://esim.dog/ca"
"canada","eSIM.dog","GREEN_CA_1AB2EDD1B8","10","365","21.18","2.118","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_5GB_45D","5","45","10.66","2.132","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_5GB_60D","5","60","10.66","2.132","https://esim.dog/ca"
"canada","eSIM.dog","BLACK_CA_5GB_90D","5","90","10.66","2.132","https://esim.dog/ca"
"canada","Saily","20GB / 30d","20","30","43.99","2.2","https://saily.com/esim-canada/"
